	name	Serial_result	Serial_memory	Serial_runtime
131	circuit_32in32out_with_80gates_7in7out_dist128_seed1.sanitized.cnf	1	0.2595062255859375	199.55
132	md5_48_1.cnf	1	0.036441802978515625	49.42
133	32_100.sanitized.cnf	0	2.0523834228515625	16.93
134	004.cnf	1	0.045928955078125	135.16
135	mdp-32-10-sat.cnf	0	0.07491302490234375	2999.99
136	hwmcc20miters-iso-rast-p06.sanitized.cnf	-1	0.044170379638671875	0.41
137	mchess_16.cnf	-1	0.029697418212890625	636.89
138	noL-11-4.sanitized.cnf	1	0.06630325317382812	782.71
139	x9-11053.sat.sanitized.cnf	1	0.0183563232421875	70.77
140	GracefulGraph-K05-P02_c18.cnf	1	0.01334381103515625	38.04
141	WS_500_16_70_10.apx_2_DC-AD.cnf	-1	0.038166046142578125	775.4
142	mdp-32-14-unsat.cnf	0	0.07061767578125	3000.89
143	goldcrest-and-9.cnf	-1	0.17227554321289062	254.88
144	1-ZC-512-K-60.sanitized.cnf	1	0.09499740600585938	945.74
145	mp1-ps_5000_21250_3_0_0.8_0_1.50_6.cnf	-1	0.017772674560546875	61.7
146	linked_list_swap_contents_safety_unwind68.cnf	-1	1.6864051818847656	123.58
147	sgen1-sat-180-100.cnf	0	0.07471466064453125	3000.91
148	Break_18_32.xml.cnf	0	0.1133270263671875	2999.85
149	summle_X4053_steps8_I1-2-2-4-4-8-25-100.cnf	1	0.032238006591796875	15.23
150	x9-08014.sat.sanitized.cnf	-1	0.0076751708984375	23.14
151	sokoban-p20.sas.cr.25.cnf	0	0.07960128784179688	2999.86
152	Break_unsat_16_27.xml.cnf	0	0.08929824829101562	2999.97
153	worker_40_80_40_0.9.cnf	0	0.16682052612304688	2999.4
154	mdp-36-12-unsat.cnf	0	0.06819915771484375	2999.9
155	linked_list_swap_contents_safety_unwind69.cnf	-1	1.7609825134277344	126.25
156	simon-r21-0.sanitized.cnf	1	0.002994537353515625	0.01
157	summle_X4044_steps7_I1-2-2-4-4-8-25-100.cnf	1	0.026218414306640625	13.73
